,Sem,Syn,Total
original GloVe,0.8014096185737977,0.5569169546549377,0.6389758575106101
Double-Hard-GloVe (Wang et al.),0.7135837692185767,0.4799063231850117,0.5667098445595855
Double-Hard-GloVe (replication),0.8020315091210614,0.6655147135825741,0.7113337507827175
GN-Glove,0.6928197812648598,0.5100702576112413,0.5779557230334432
GN-Glove(a),0.6899667142177841,0.5064168618266979,0.5745996231747527
GP-GloVe,0.7352987795213187,0.5155035128805621,0.5971502590673575
GP-GN-GloVe,0.6944048185132351,0.5318032786885246,0.5922044276966557
Hard-GloVe,0.736249801870344,0.6274473067915691,0.6678638718794159
Strong-Hard-GloVe,0.7123157394198764,0.6242622950819672,0.6569712670748941
